Ind,Gender,age_range,Occ_code,Partner_status,Region,Lodgment_method,PHI_Ind,Sw_amt,Alow_ben_amt,ETP_txbl_amt,Grs_int_amt,Aust_govt_pnsn_allw_amt,Unfranked_Div_amt,Frk_Div_amt,Dividends_franking_cr_amt,Net_rent_amt,Gross_rent_amt,Other_rent_ded_amt,Rent_int_ded_amt,Rent_cap_wks_amt,Net_farm_management_amt,Net_PP_BI_amt,Net_NPP_BI_amt,Total_PP_BI_amt,Total_NPP_BI_amt,Total_PP_BE_amt,Total_NPP_BE_amt,Net_CG_amt,Tot_CY_CG_amt,Net_PT_PP_dsn,Net_PT_NPP_dsn,Taxed_othr_pnsn_amt,Untaxed_othr_pnsn_amt,Other_foreign_inc_amt,Other_inc_amt,Tot_inc_amt,WRE_car_amt,WRE_trvl_amt,WRE_uniform_amt,WRE_self_amt,WRE_other_amt,Div_Ded_amt,Intrst_Ded_amt,Gift_amt,Non_emp_spr_amt,Cost_tax_affairs_amt,Other_Ded_amt,Tot_ded_amt,PP_loss_claimed,NPP_loss_claimed,Rep_frng_ben_amt,Med_Exp_TO_amt,Asbl_forgn_source_incm_amt,Spouse_adjusted_taxable_inc,Net_fincl_invstmt_lss_amt,Rptbl_Empr_spr_cont_amt,Cr_PAYG_ITI_amt,TFN_amts_wheld_gr_intst_amt,TFN_amts_wheld_divs_amt,Hrs_to_prepare_BPI_cnt,Taxable_Income,Help_debt,MCS_Emplr_Contr,MCS_Prsnl_Contr,MCS_Othr_Contr,MCS_Ttl_Acnt_Bal
67700,1,7,3,1,112,A,0,38742,31,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39277,4001,0,337,0,1133,0,0,357,0,93,0,5921,0,0,0,0,0,54308,0,0,0,0,0,0,33356,9812,3513,0,510,57957
8543,1,3,0,1,208,A,1,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,19608,0,74605,0,54997,0,0,0,104536,0,0,0,0,124217,0,0,0,0,0,0,0,591,22700,0,0,23291,0,0,0,478,0,87245,0,0,14528,0,0,0,100926,0,0,22800,0,233054
63540,0,7,1,1,316,S,0,93724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,93968,0,0,161,0,2378,0,0,33,0,491,804,3867,0,0,0,0,0,32536,0,1134,0,0,0,0,90101,0,11729,0,0,70287
29669,0,5,2,1,206,A,1,77685,0,0,0,0,0,5436,2329,0,0,0,0,0,0,0,0,0,0,0,0,251,365,0,1872,0,0,110,0,87683,0,0,89,0,176,0,0,1629,0,177,0,2071,0,0,0,0,110,42726,0,7966,0,0,0,0,85612,0,0,0,9957,0
180386,0,10,3,0,118,A,0,40917,2415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43332,1732,0,583,0,900,0,0,0,0,0,0,3215,0,0,0,0,0,0,0,0,0,0,0,0,40117,0,3010,0,0,2762
146372,0,9,3,0,602,A,0,53422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53422,2715,0,756,0,0,0,0,0,0,86,0,3557,0,0,0,0,0,0,0,0,0,0,0,0,49865,0,4768,0,0,24785
137257,0,8,1,0,203,S,1,61959,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61960,3343,0,751,0,2041,0,0,0,0,0,0,6135,0,0,0,0,0,0,0,0,0,0,0,0,55825,0,5285,0,0,49209
246986,1,9,2,1,212,S,0,13724,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,1502,0,0,0,0,0,0,15257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82325,0,0,0,0,0,0,15257,0,1025,0,0,8588
163950,1,4,0,0,207,A,0,0,0,0,0,0,0,0,0,15179,23135,7956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15181,0,0,0,0,0,0,0,0,0,13,2532,2545,0,0,0,0,0,0,0,0,0,0,0,0,12636,0,0,0,0,0
111298,1,6,2,1,212,S,0,3940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14700,0,0,0,0,0,0,3940,0,63,0,0,8
163012,1,5,5,1,206,S,1,16961,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74060,0,0,0,0,0,0,16962,0,2602,0,0,12495
72798,1,7,4,1,112,A,1,22252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22252,1242,0,598,0,2610,0,0,0,0,0,0,4450,0,0,0,0,0,31860,0,0,0,0,0,0,17802,6709,1756,0,293,27922
37316,0,5,0,0,208,A,0,0,0,0,0,0,0,0,0,14150,21681,6428,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14150,0,0,0,0,0,0,0,0,0,223,0,223,0,0,0,0,0,0,0,0,3885,0,0,0,13927,0,0,0,0,48973
171801,1,11,5,0,124,A,1,7666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7666,0,0,0,0,0
212442,1,1,0,1,503,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20128,0,0,0,0,20128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17706,0,0,0,0,0,0,20128,0,0,0,0,21062
427,1,0,0,0,112,A,0,0,0,0,0,0,0,440,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0,2059379
1100,0,0,0,1,102,A,1,0,0,0,9699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5841,0,0,0,0,15540,0,0,0,0,0,0,0,0,0,0,129,129,0,0,0,0,0,16935,0,0,0,0,0,0,15411,0,0,0,0,0
112440,0,8,8,1,602,A,0,99330,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99331,0,0,160,0,160,0,0,19,0,221,0,560,0,0,0,0,0,0,0,0,0,0,0,0,98771,0,5422,0,0,45851
176287,1,9,4,0,301,S,1,28386,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28391,0,0,18,0,554,0,0,6,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,27813,0,3297,0,0,25312
